x,Od poczatku,Od konca
-1.5601628999798913,4.533439595943989E-17,5.323259194556229E-17
-1.5560607999799883,4.676467546538276E-17,5.474960762530401E-17
-1.5519586999800852,4.568914691027715E-17,5.3804183330896646E-17
-1.547856599980182,4.6945086706884356E-17,5.2246401649469474E-17
-1.543754499980279,4.677161435928667E-17,5.3658466558914595E-17
-1.539652399980376,4.627201399820535E-17,5.2548243534289443E-17
-1.5355502999804729,4.663283648120853E-17,5.1708637371916666E-17
-1.5314481999805698,4.676814491233472E-17,5.2270687778133154E-17
-1.5273460999806667,4.7781223422305175E-17,5.518502321777419E-17
-1.5232439999807637,4.7579995499091866E-17,5.4449500463960024E-17
-1.5191418999808606,4.662242814035267E-17,5.540706782269922E-17
-1.5150397999809575,4.548444954011188E-17,5.16461873267815E-17
-1.5109376999810544,4.760081218080359E-17,5.492134524942571E-17
-1.5068355999811514,4.6219972293926045E-17,5.342254416618175E-17
-1.5027334999812483,4.764244554422703E-17,5.3804183330896646E-17
-1.4986313999813452,4.880817972008344E-17,5.4511950509095185E-17
-1.4945292999814421,4.689304500260505E-17,5.4040105723629496E-17
-1.490427199981539,4.787836793695988E-17,5.434541705540141E-17
-1.486325099981636,4.7656323332034847E-17,5.498379529456088E-17
-1.482222999981733,4.835021272242557E-17,5.367928324062632E-17
-1.4781208999818298,4.800326802723021E-17,5.449807272128737E-17
-1.4740187999819268,4.807265696626928E-17,5.204170427930421E-17
-1.4699166999820237,4.606037773413618E-17,5.206945985491984E-17
-1.4658145999821206,4.950206911047417E-17,5.517808432387028E-17
-1.4617124999822175,4.596323321948148E-17,5.265232694284805E-17
-1.4576103999823145,4.8253068207770864E-17,5.4872772992098365E-17
-1.4535082999824114,4.9960036108132046E-17,5.601075159233914E-17
-1.4494061999825083,4.744815651491763E-17,5.440092820663267E-17
-1.4453040999826052,4.760081218080359E-17,5.392908342116698E-17
-1.4412019999827022,5.132005931329786E-17,5.61495294704173E-17
-1.437099899982799,5.1236792586450977E-17,5.329070518200751E-17
-1.432997799982896,4.7850612361344246E-17,5.398459457239824E-17
-1.428895699982993,4.8960835385969404E-17,5.187517082561044E-17
-1.4247935999830899,5.054290319606025E-17,5.284661597215745E-17
-1.4206914999831868,5.0792703376600914E-17,5.4567461660326443E-17
-1.4165893999832837,5.140332604014475E-17,5.545564008002657E-17
-1.4124872999833806,4.371503159461554E-17,4.690692279041286E-17
-1.4083851999834776,2.831068712794149E-17,3.630429290524262E-17
-1.4042830999835745,2.794986464493831E-17,3.6193270602780105E-17
-1.4001809999836714,2.858824288409778E-17,3.6470826358936394E-17
-1.3960788999837683,2.961519918187605E-17,3.59989815734707E-17
-1.3919767999838653,3.0725422206501207E-17,3.808064974464287E-17
-1.3878746999839622,3.005928839172611E-17,3.855249453010856E-17
-1.383772599984059,2.947642130379791E-17,3.86912724081867E-17
-1.379670499984156,2.936539900133539E-17,3.6415315207705136E-17
-1.375568399984253,3.005928839172611E-17,3.7442271505483404E-17
-1.3714662999843499,3.0309088572266776E-17,3.86912724081867E-17
-1.3673641999844468,3.053113317719181E-17,3.6692870963861425E-17
-1.3632620999845437,3.075317778211684E-17,3.763656053479281E-17
-1.3591599999846407,2.8727020762175923E-17,3.7192471324942746E-17
-1.3550578999847376,2.9226621123257244E-17,3.8163916471489756E-17
-1.3509557999848345,2.919886554764162E-17,3.594347042223944E-17
-1.3468536999849314,3.0142555118573E-17,3.6970426720017715E-17
-1.3427515999850284,3.0281332996651144E-17,3.58046925441613E-17
-1.3386494999851253,2.997602166487923E-17,3.627653732962699E-17
-1.3345473999852222,2.9309887850104134E-17,3.577693696854567E-17
-1.3304452999853191,3.0503377601576175E-17,3.5360603334311236E-17
-1.326343199985416,3.047562202596055E-17,3.708144902248023E-17
-1.322241099985513,3.325117958752344E-17,3.469446951953614E-17
-1.31813899998561,3.5277336607464347E-17,3.658184866139891E-17
-1.3140368999857068,4.4630965589931296E-17,3.4389158187764227E-17
-1.3099347999858038,4.3354209111612364E-17,3.325117958752344E-17
-1.3058326999859007,4.668487818548783E-17,3.502753642692369E-17
-1.3017305999859976,4.6573855883025315E-17,3.391731340229853E-17
-1.2976284999860945,4.485301019485633E-17,3.2751579226442116E-17
-1.2935263999861915,4.3909320623924943E-17,3.5138558729386205E-17
-1.2894242999862884,4.163336342344337E-17,3.297362383136715E-17
-1.2853221999863853,4.2799097599299786E-17,3.2251978865360795E-17
-1.2812200999864822,4.0190073491430665E-17,3.4083846855992305E-17
-1.2771179999865792,4.0967229608668276E-17,3.3806291099836016E-17
-1.273015899986676,4.0190073491430665E-17,3.314015728506092E-17
-1.268913799986773,4.0467629247586955E-17,3.297362383136715E-17
-1.26481169998687,4.2521541843143496E-17,3.186340080674199E-17
-1.2607095999869669,4.1022740759899534E-17,3.208544541166702E-17
-1.2566074999870638,4.485301019485633E-17,3.4083846855992305E-17
-1.2525053999871607,4.368727601899991E-17,3.319566843629218E-17
-1.2484032999872576,4.4131365228849975E-17,3.4083846855992305E-17
