x,n=5,n=10,n=15,n=20
-2.622606799988489,0.004060368469842838,9.747561269257687E-11,1.4477308241112042E-16,1.4477308241112042E-16
-2.618504699988364,0.003997989532154961,9.447787674421448E-11,1.4732659536775827E-16,1.4732659536775827E-16
-2.6144025999882388,0.0039364715232278556,9.156785907293852E-11,1.5354384430565915E-16,1.5354384430565915E-16
-2.6103004999881136,0.0038758039180155964,8.874308210504722E-11,1.4832579608992092E-16,1.4832579608992092E-16
-2.6061983999879885,0.003815976303337682,8.600121659263494E-11,1.5354384430565915E-16,1.5354384430565915E-16
-2.6020962999878634,0.0037569783768722,8.333992329578877E-11,1.532107773982716E-16,1.532107773982716E-16
-2.5979941999877383,0.003698799946155925,8.075698809673071E-11,1.4177548024463248E-16,1.4177548024463248E-16
-2.593892099987613,0.0036414309275922124,7.825019798790578E-11,1.438849039914203E-16,1.438849039914203E-16
-2.589789999987488,0.0035848613454658364,7.581741112705487E-11,1.5332179970073412E-16,1.5332179970073412E-16
-2.585687899987363,0.003529081330965237,7.345659147617311E-11,1.4277468096679513E-16,1.4277468096679513E-16
-2.581585799987238,0.003474081121212076,7.116570155396573E-11,1.4876988529977099E-16,1.4876988529977099E-16
-2.5774836999871127,0.003419851058297742,6.894277093660861E-11,1.3844481117075703E-16,1.3844481117075703E-16
-2.5733815999869876,0.0033663815883271434,6.678591113473686E-11,1.4377388168895776E-16,1.4377388168895776E-16
-2.5692794999868624,0.003313663260469669,6.469321789381866E-11,1.4077627952246985E-16,1.4077627952246985E-16
-2.5651773999867373,0.0032616867260169473,6.266290897283256E-11,1.4077627952246985E-16,1.4077627952246985E-16
-2.561075299986612,0.0032104427374478675,6.069320623858232E-11,1.4410694859634532E-16,1.4410694859634532E-16
-2.556973199986487,0.00315992214750049,5.878242248513743E-11,1.4011014570769476E-16,1.4011014570769476E-16
-2.552871099986362,0.0031101159082508696,5.6928865177496844E-11,1.4699352846037073E-16,1.4699352846037073E-16
-2.548768999986237,0.003061015070198825,5.513089607056543E-11,1.3933298959045713E-16,1.3933298959045713E-16
-2.5446668999861117,0.0030126107813604626,5.338695008294536E-11,1.375566327510569E-16,1.375566327510569E-16
-2.5405647999859866,0.002964894286367677,5.169548400463242E-11,1.4432899320127036E-16,1.4432899320127036E-16
-2.5364626999858615,0.0029178569255743306,5.0054997258186515E-11,1.4832579608992092E-16,1.4832579608992092E-16
-2.5323605999857364,0.00287149013416915,4.846403844904756E-11,1.4344081478157023E-16,1.4344081478157023E-16
-2.5282584999856113,0.002825785441295397,4.6921193930238304E-11,1.4843681839238343E-16,1.4843681839238343E-16
-2.524156399985486,0.0027807344691771875,4.5425052164205225E-11,1.4410694859634532E-16,1.4410694859634532E-16
-2.520054299985361,0.0027363289322523653,4.397429742564185E-11,1.3844481117075703E-16,1.3844481117075703E-16
-2.515952199985236,0.002692560636312054,4.256763030952016E-11,1.3233858453531865E-16,1.3233858453531865E-16
-2.5118500999851108,0.002649421477646705,4.1203784162391346E-11,1.3522516439934406E-16,1.3522516439934406E-16
-2.5077479999849857,0.002606903442198733,3.988148644662459E-11,1.3700152123874432E-16,1.3700152123874432E-16
-2.5036458999848605,0.0025649986047214276,3.8599560658880706E-11,1.333377852574813E-16,1.333377852574813E-16
